143, 2022-04-01, Monthly Stand Fees, 1922, 175.00, 26.25, 201.25
144, 2022-04-01, Monthly Stand Fees, 1923, 175.00, 26.25, 201.25
145, 2022-04-01, Monthly Stand Fees, 1924, 175.00, 26.25, 201.25
146, 2022-04-01, Monthly Stand Fees, 1925, 175.00, 26.25, 201.25
147, 2022-04-01, Monthly Stand Fees, 1926, 175.00, 26.25, 201.25
148, 2022-04-01, Passenger, 1922, 20.00, 3.00, 23.00
149, 2022-04-02, Passenger, 1923, 30.00, 4.50, 34.50
150, 2022-04-02, Passenger Tip, 1923, 100.00, 15.00, 115.00
151, 2022-04-05, Passenger, 1924, 10.00, 1.50, 11.50
152, 2022-04-05, Passenger Tip, 1924, 50.00, 7.50, 57.50
153, 2022-04-05, Passenger, 1925, 30.00, 4.50, 34.50
154, 2022-04-05, Passenger Tip, 1925, 100.00, 15.00, 115.00
155, 2022-04-10, Tax Break, 1922, 200.00, 30.00, 230.00
156, 2022-04-13, Tax Break, 1923, 200.00, 30.00, 230.00
157, 2022-04-16, Tax Break, 1924, 200.00, 30.00, 230.00
158, 2022-04-19, Tax Break, 1925, 200.00, 30.00, 230.00
159, 2022-04-21, Tax Break, 1926, 200.00, 30.00, 230.00
160, 2022-04-25, Tax Break, 1927, 200.00, 30.00, 230.00
151, 2022-04-30, Passenger, 1924, 50.00, 7.50, 57.50
152, 2022-04-30, Passenger Tip, 1924, 50.00, 7.50, 57.50
