1234567, 2022-04-01, 1922, 19, Gas, 100.00, 1, 100.00, 15.00, 115.00,
1234568, 2022-04-05, 1923, 20, Repairs, 200.00, 1, 200.00, 30.00, 230.00,
1234569, 2022-04-07, 1924, 21, Plastic Bag, 0.10, 100, 10.00, 1.50, 11.50,
1234570, 2022-04-10, 1922, 22, Commercial, 500.00, 1, 500.00, 75.00, 575.00,
1234571, 2022-04-12, 1924, 23, Paper Towels, 1.00, 10, 10.00, 1.50, 11.50,
1234572, 2022-04-12, 1924, 24, Therapy, 300.00, 1, 300.00, 45.00, 345.00,
1234573, 2022-04-20, 1923, 25, Insurance, 150.00, 1, 150.00, 22.50, 172.50,
1234574, 2022-04-23, 1923, 26, Oil Change, 100.00, 1, 100.00, 15.00, 115.00,
1234575, 2022-04-24, 1924, 27, Cleaning, 50.00, 1, 50.00, 7.50, 57.50,
1234576, 2022-04-30, 1922, 19, Detailing, 100.00, 1, 100.00, 15.00, 115.00,
